time,T1038,T2571,T4587,T6376,T7640,T9105,T9625,T9989,T10169
1.000000000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000,16.00000000
1314901.000000,19.79901359,16.88712103,16.01450795,16.00000888,16.00001134,16.00000062,16.00000002,16.00000004,15.99999994
2629801.000000,20.80592064,18.32435477,16.09164233,16.00007107,16.00001992,16.00000117,16.00000008,16.00000005,15.99999997
3944701.000000,20.97243217,19.56877929,16.30271699,16.00041721,16.00002760,16.00000164,16.00000013,16.00000003,16.00000005
5259601.000000,20.99603884,20.34003319,16.69845393,16.00182769,16.00003486,16.00000211,16.00000017,16.00000002,16.00000015
6574501.000000,20.99931476,20.72687661,17.27095129,16.00629907,16.00004208,16.00000254,16.00000021,16.00000001,16.00000027
7889401.000000,20.99980257,20.89518570,17.95355314,16.01790686,16.00004933,16.00000296,16.00000024,16.00000000,16.00000038
9204301.000000,20.99987999,20.96166298,18.65349521,16.04350344,16.00005667,16.00000333,16.00000027,16.00000000,16.00000048
10519201.00000,20.99989974,20.98627075,19.28955443,16.09274734,16.00006406,16.00000369,16.00000030,15.99999999,16.00000058
11834101.00000,20.99990586,20.99502104,19.81349544,16.17708396,16.00007144,16.00000403,16.00000032,15.99999999,16.00000067
13149001.00000,20.99991174,20.99806020,20.21170375,16.30770645,16.00007880,16.00000434,16.00000035,15.99999999,16.00000076
14463901.00000,20.99991468,20.99911070,20.49499334,16.49300386,16.00008615,16.00000463,16.00000037,15.99999999,16.00000083
15778801.00000,20.99991789,20.99946992,20.68590464,16.73629637,16.00009359,16.00000491,16.00000038,15.99999999,16.00000090
17093701.00000,20.99991926,20.99960043,20.80902682,17.03458870,16.00010141,16.00000517,16.00000040,16.00000000,16.00000096
18408601.00000,20.99992098,20.99964390,20.88568286,17.37871074,16.00011024,16.00000541,16.00000041,16.00000000,16.00000102
19723501.00000,13.40191266,19.22553216,20.89976959,17.75473988,16.00012113,16.00000563,16.00000042,16.00000000,16.00000107
21038401.00000,11.38799283,16.35094064,20.78308568,18.14624936,16.00013598,16.00000585,16.00000043,16.00000000,16.00000111
22353301.00000,11.05489032,13.86199389,20.37679483,18.53654365,16.00015840,16.00000604,16.00000044,16.00000001,16.00000115
23668201.00000,11.00770033,12.31940564,19.59320287,18.90963753,16.00019686,16.00000623,16.00000044,16.00000001,16.00000119
24983101.00000,11.00114822,11.54570395,18.45218432,19.24901128,16.00026517,16.00000640,16.00000045,16.00000001,16.00000122
26298001.00000,11.00019567,11.20908524,17.08898916,19.53426655,16.00038789,16.00000657,16.00000045,16.00000001,16.00000125
27612901.00000,11.00004516,11.07615615,15.69013018,19.73977576,16.00060670,16.00000671,16.00000045,16.00000002,16.00000128
28927801.00000,11.00001975,11.02695530,14.41853760,19.84844847,16.00098969,16.00000685,16.00000045,16.00000002,16.00000130
30242701.00000,11.00001491,11.00947731,13.37094195,19.83323912,16.00164412,16.00000697,16.00000045,16.00000002,16.00000132
31557601.00000,11.00001409,11.00340508,12.57469076,19.76633830,16.00273342,16.00000708,16.00000045,16.00000002,16.00000134
32872501.00000,18.59801347,12.77527325,12.03751676,19.59060769,16.00449802,16.00000717,16.00000045,16.00000002,16.00000136
34187401.00000,20.61193463,15.64917092,11.82844092,19.23566509,16.00728049,16.00000726,16.00000045,16.00000003,16.00000137
35502301.00000,20.94503567,18.13790459,11.98311483,18.72328398,16.01155334,16.00000733,16.00000045,16.00000003,16.00000139
36817201.00000,20.99222573,19.68042307,12.60403858,18.09210744,16.01794847,16.00000740,16.00000045,16.00000003,16.00000140
38132101.00000,20.99877597,20.45410503,13.65572138,17.38516597,16.02728533,16.00000745,16.00000045,16.00000003,16.00000141
39447001.00000,20.99972839,20.79071104,14.96980970,16.65010102,16.04059354,16.00000750,16.00000044,16.00000003,16.00000141
40761901.00000,20.99987633,20.92363541,16.34202637,15.94021415,16.05912084,16.00000754,16.00000044,16.00000003,16.00000142
42076801.00000,20.99990100,20.97282700,17.59923688,15.31414698,16.08432584,16.00000758,16.00000044,16.00000003,16.00000142
43391701.00000,20.99990375,20.99030162,18.63905181,14.82561292,16.11783495,16.00000761,16.00000043,16.00000003,16.00000143
44706601.00000,20.99990384,20.99636512,19.43104557,14.51600022,16.16135238,16.00000764,16.00000043,16.00000004,16.00000143
