time,H1038,H2571,H4587,H6376,H7640,H9105,H9625,H9989,H10169
1.000000000000,28.83196348,28.82228085,28.80518185,28.77378811,28.72034747,28.61346620,28.47960583,28.31849949,28.14698768
1314901.000000,30.50660995,30.18413994,29.90886850,29.66764211,29.35680855,29.03470452,28.73998205,28.45478045,28.18736101
2629801.000000,30.50660793,30.18413905,29.90886826,29.66764255,29.35680960,29.03470560,28.73998299,28.45478115,28.18736120
3944701.000000,30.50660560,30.18413778,29.90886808,29.66764302,29.35681074,29.03470681,28.73998399,28.45478180,28.18736140
5259601.000000,30.50660372,30.18413673,29.90886774,29.66764330,29.35681157,29.03470769,28.73998474,28.45478228,28.18736156
6574501.000000,30.50660159,30.18413541,29.90886739,29.66764357,29.35681242,29.03470863,28.73998553,28.45478277,28.18736173
7889401.000000,30.50659990,30.18413437,29.90886697,29.66764368,29.35681300,29.03470930,28.73998610,28.45478313,28.18736185
9204301.000000,30.50659816,30.18413323,29.90886655,29.66764376,29.35681353,29.03470993,28.73998664,28.45478346,28.18736196
10519201.00000,30.50636909,30.18394964,29.90873705,29.66756126,29.35677800,29.03470052,28.73998853,28.45478703,28.18736361
11834101.00000,30.50636790,30.18394730,29.90873351,29.66755682,29.35677327,29.03469634,28.73998543,28.45478527,28.18736310
13149001.00000,30.50636575,30.18394333,29.90872770,29.66754976,29.35676579,29.03468976,28.73998055,28.45478250,28.18736229
14463901.00000,30.50636454,30.18394114,29.90872455,29.66754584,29.35676157,29.03468605,28.73997780,28.45478093,28.18736182
15778801.00000,30.50628763,30.18383395,29.90858424,29.66738394,29.35659201,29.03453931,28.73986926,28.45471903,28.18734298
17093701.00000,30.50628510,30.18383193,29.90858321,29.66738349,29.35659216,29.03453955,28.73986946,28.45471910,28.18734302
18408601.00000,30.50628377,30.18383090,29.90858255,29.66738318,29.35659219,29.03453963,28.73986953,28.45471913,28.18734303
19723501.00000,30.50628190,30.18382942,29.90858170,29.66738275,29.35659218,29.03453973,28.73986963,28.45471916,28.18734304
21038401.00000,30.50628078,30.18382854,29.90858114,29.66738246,29.35659214,29.03453976,28.73986966,28.45471917,28.18734305
22353301.00000,30.50627915,30.18382725,29.90858034,29.66738202,29.35659205,29.03453978,28.73986971,28.45471919,28.18734305
23668201.00000,30.50627810,30.18382641,29.90857979,29.66738172,29.35659197,29.03453978,28.73986972,28.45471919,28.18734305
24983101.00000,30.50627653,30.18382516,29.90857898,29.66738125,29.35659183,29.03453975,28.73986973,28.45471919,28.18734304
26298001.00000,30.50627551,30.18382434,29.90857843,29.66738092,29.35659171,29.03453971,28.73986972,28.45471918,28.18734304
27612901.00000,30.50627401,30.18382313,29.90857761,29.66738042,29.35659151,29.03453964,28.73986970,28.45471916,28.18734303
28927801.00000,30.50627302,30.18382233,29.90857706,29.66738007,29.35659137,29.03453957,28.73986967,28.45471914,28.18734302
30242701.00000,30.50627157,30.18382115,29.90857624,29.66737954,29.35659113,29.03453946,28.73986962,28.45471912,28.18734301
31557601.00000,30.50627062,30.18382036,29.90857569,29.66737918,29.35659095,29.03453938,28.73986957,28.45471909,28.18734300
32872501.00000,30.50626921,30.18381921,29.90857486,29.66737862,29.35659067,29.03453923,28.73986950,28.45471905,28.18734299
34187401.00000,30.50626828,30.18381843,29.90857430,29.66737824,29.35659046,29.03453912,28.73986944,28.45471901,28.18734298
