time,H986,H1222,H1827,H3434
1.000000000000,29.45267137,29.43054846,29.42480432,29.43715942
1314901.000000,31.27208654,31.65093164,31.97188994,32.17022767
2629801.000000,31.27208513,31.65092922,31.97188343,32.17022230
3944701.000000,31.27208372,31.65092597,31.97187907,32.17021629
5259601.000000,31.27208290,31.65092390,31.97187500,32.17021270
6574501.000000,31.27208206,31.65092151,31.97187151,32.17020857
7889401.000000,31.27208152,31.65091989,31.97186861,32.17020583
9204301.000000,31.27208095,31.65091793,31.97186559,32.17020253
10519201.00000,31.27208055,31.65091653,31.97186324,32.17020023
11834101.00000,31.27208011,31.65091481,31.97186051,32.17019738
13149001.00000,31.27207978,31.65091355,31.97185844,32.17019534
14463901.00000,31.27207940,31.65091197,31.97185592,32.17019277
15778801.00000,31.27207911,31.65091080,31.97185404,32.17019090
17093701.00000,31.27207877,31.65090934,31.97185168,32.17018853
18408601.00000,31.27207849,31.65090823,31.97184993,32.17018680
19723501.00000,31.27207816,31.65090685,31.97184772,32.17018459
21038401.00000,31.27207789,31.65090581,31.97184608,32.17018296
22353301.00000,31.27207757,31.65090450,31.97184400,32.17018089
23668201.00000,31.27207731,31.65090350,31.97184245,32.17017935
24983101.00000,31.27207699,31.65090225,31.97184048,32.17017739
26298001.00000,31.27207672,31.65090130,31.97183901,32.17017594
27612901.00000,31.27207641,31.65090011,31.97183714,32.17017408
28927801.00000,31.27207614,31.65089920,31.97183574,32.17017269
30242701.00000,31.27207582,31.65089805,31.97183396,32.17017092
31557601.00000,31.27207555,31.65089718,31.97183263,32.17016960
32872501.00000,31.27207523,31.65089608,31.97183094,32.17016791
34187401.00000,31.27207495,31.65089523,31.97182967,32.17016664
35502301.00000,31.27207463,31.65089418,31.97182806,32.17016503
36817201.00000,31.27207435,31.65089336,31.97182685,32.17016382
38132101.00000,31.27207402,31.65089235,31.97182530,32.17016227
39447001.00000,31.27207374,31.65089156,31.97182415,32.17016111
40761901.00000,31.27207340,31.65089058,31.97182267,32.17015962
42076801.00000,31.27207312,31.65088982,31.97182157,32.17015851
43391701.00000,31.27207278,31.65088888,31.97182015,32.17015708
44706601.00000,31.27207249,31.65088814,31.97181909,32.17015601
46021501.00000,31.27207214,31.65088722,31.97181773,32.17015463
47336401.00000,31.27207185,31.65088651,31.97181672,32.17015360
48651301.00000,31.27207150,31.65088563,31.97181541,32.17015227
49966201.00000,31.27207121,31.65088494,31.97181443,32.17015128
51281101.00000,31.27207086,31.65088408,31.97181318,32.17015000
52596001.00000,31.27207056,31.65088341,31.97181224,32.17014904
53910901.00000,31.27207021,31.65088257,31.97181103,32.17014780
55225801.00000,31.27206991,31.65088192,31.97181013,32.17014687
56540701.00000,31.27206955,31.65088111,31.97180897,32.17014568
57855601.00000,31.27206925,31.65088048,31.97180809,32.17014478
59170501.00000,31.27206888,31.65087969,31.97180697,32.17014363
60485401.00000,31.27206858,31.65087907,31.97180613,32.17014276
61800301.00000,31.27206822,31.65087830,31.97180505,32.17014164
63115201.00000,31.27206791,31.65087771,31.97180424,32.17014080
64430101.00000,31.27206754,31.65087696,31.97180319,32.17013972
65745001.00000,31.27206724,31.65087637,31.97180240,32.17013890
67059901.00000,31.27206687,31.65087564,31.97180139,32.17013785
68374801.00000,31.27206656,31.65087507,31.97180063,32.17013706
69689701.00000,31.27206619,31.65087436,31.97179965,32.17013604
71004601.00000,31.27206588,31.65087380,31.97179891,32.17013528
72319501.00000,31.27206550,31.65087310,31.97179796,32.17013429
73634401.00000,31.27206519,31.65087256,31.97179725,32.17013354
74949301.00000,31.27206482,31.65087188,31.97179633,32.17013258
76264201.00000,31.27206451,31.65087135,31.97179563,32.17013186
77579101.00000,31.27206413,31.65087068,31.97179474,32.17013093
78894001.00000,31.27206382,31.65087016,31.97179407,32.17013022
80208901.00000,31.27206343,31.65086951,31.97179320,32.17012932
81523801.00000,31.27206312,31.65086900,31.97179254,32.17012863
82838701.00000,31.27206274,31.65086836,31.97179170,32.17012775
84153601.00000,31.27206243,31.65086786,31.97179106,32.17012708
85468501.00000,31.27206205,31.65086723,31.97179024,32.17012622
86783401.00000,31.27206173,31.65086674,31.97178962,32.17012558
88098301.00000,31.27206135,31.65086612,31.97178882,32.17012474
89413201.00000,31.27206104,31.65086564,31.97178822,32.17012411
90728101.00000,31.27206065,31.65086504,31.97178744,32.17012329
92043001.00000,31.27206034,31.65086456,31.97178685,32.17012267
93357901.00000,31.27205995,31.65086397,31.97178609,32.17012188
94672801.00000,31.27205964,31.65086351,31.97178551,32.17012128
95987701.00000,31.27205925,31.65086292,31.97178477,32.17012050
97302601.00000,31.27205894,31.65086247,31.97178421,32.17011992
98617501.00000,31.27205856,31.65086189,31.97178348,32.17011916
99932401.00000,31.27205824,31.65086144,31.97178294,32.17011858
101247301.0000,31.27205786,31.65086088,31.97178223,32.17011784
102562201.0000,31.27205754,31.65086044,31.97178169,32.17011729
103877101.0000,31.27205716,31.65085988,31.97178100,32.17011656
105192001.0000,31.27205684,31.65085944,31.97178048,32.17011602
106506901.0000,31.27205646,31.65085890,31.97177980,32.17011531
107821801.0000,31.27205615,31.65085847,31.97177929,32.17011477
109136701.0000,31.27205576,31.65085793,31.97177862,32.17011408
110451601.0000,31.27205545,31.65085751,31.97177812,32.17011356
111766501.0000,31.27205506,31.65085697,31.97177747,32.17011288
113081401.0000,31.27205475,31.65085656,31.97177698,32.17011237
114396301.0000,31.27205437,31.65085603,31.97177634,32.17011171
115711201.0000,31.27205406,31.65085562,31.97177586,32.17011121
117026101.0000,31.27205367,31.65085511,31.97177524,32.17011056
118341001.0000,31.27205336,31.65085470,31.97177477,32.17011007
119655901.0000,31.27205298,31.65085419,31.97177415,32.17010943
120970801.0000,31.27205267,31.65085379,31.97177369,32.17010895
122285701.0000,31.27205229,31.65085329,31.97177309,32.17010833
123600601.0000,31.27205198,31.65085289,31.97177263,32.17010786
124915501.0000,31.27205160,31.65085239,31.97177204,32.17010725
126230401.0000,31.27205129,31.65085200,31.97177160,32.17010678
127545301.0000,31.27205091,31.65085151,31.97177102,32.17010618
128860201.0000,31.27205060,31.65085113,31.97177058,32.17010573
130175101.0000,31.27205022,31.65085064,31.97177001,32.17010514
131490001.0000,31.27204992,31.65085026,31.97176958,32.17010470
132804901.0000,31.27204954,31.65084978,31.97176902,32.17010412
134119801.0000,31.27204923,31.65084940,31.97176859,32.17010368
135434701.0000,31.27204885,31.65084893,31.97176804,32.17010312
136749601.0000,31.27204855,31.65084856,31.97176762,32.17010269
138064501.0000,31.27204817,31.65084809,31.97176708,32.17010213
139379401.0000,31.27204787,31.65084772,31.97176667,32.17010171
140694301.0000,31.27204750,31.65084726,31.97176614,32.17010116
142009201.0000,31.27204719,31.65084689,31.97176573,32.17010074
143324101.0000,31.27204682,31.65084644,31.97176520,32.17010020
144639001.0000,31.27204652,31.65084607,31.97176481,32.17009980
145953901.0000,31.27204615,31.65084562,31.97176429,32.17009927
147268801.0000,31.27204585,31.65084526,31.97176390,32.17009887
148583701.0000,31.27204548,31.65084482,31.97176338,32.17009834
149898601.0000,31.27204518,31.65084446,31.97176300,32.17009795
151213501.0000,31.27204481,31.65084402,31.97176249,32.17009744
